state,year,month,precip_in,temp_mean_f,temp_max_f,temp_min_f,wind_speed_ms,pressure_hpa
OK,2025,5,6.21,67.2,78.8,55.4,3.8836021505376346,973.344758064516
OK,2025,6,6.93,77.9,88.5,67.3,4.287361111111111,974.6456944444444
OK,2025,7,2.93,82.1,93,71.2,4.19755376344086,976.4358870967742
OK,2025,8,4.38,79.8,90.8,68.7,3.768118279569893,977.74045698924715
OK,2025,9,2.34,74.2,86.6,61.8,3.4371388888888887,976.94625
OK,2025,10,2.62,66.5,78.8,54.2,4.175067204301075,977.2323924731182
OK,2025,11,1.87,54.7,67.9,41.5,4.455902777777778,978.2295833333334
OK,2025,12,0.1,44.9,58,31.9,4.997083333333333,978.333870967742
OK,2026,1,1.13,37.8,51.5,24.1,4.621008064516129,980.675
OK,2026,2,0.85,51,66.2,35.8,4.657619047619048,977.268601190476
OK,2026,3,1.39,60.5,75.4,45.5,5.981747311827957,975.6706989247313
OK,2026,4,NA,-99.9,-99.9,-99.9,5.639166666666666,977.6944444444443
OK,2026,5,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,6,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,7,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,8,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,9,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,10,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,11,NA,-99.9,-99.9,-99.9,NA,NA
OK,2026,12,NA,-99.9,-99.9,-99.9,NA,NA
OR,2000,1,5.97,32.4,39,25.8,3.3799596774193548,865.3254032258064
OR,2000,2,4.65,37.3,44.6,30,3.1369396551724136,862.5478448275862
OR,2000,3,2.72,38.6,49.2,28,2.6453091397849464,866.5856182795699
OR,2000,4,2.09,47.8,60.6,35.1,2.8521666666666667,867.6458333333334
OR,2000,5,2.1,51.2,62.8,39.4,3.073239247311828,866.8584677419354
OR,2000,6,1.01,60.2,75.1,45.3,2.990875,870.3552777777778
OR,2000,7,0.35,64.7,80,49.3,2.4254032258064515,871.1217741935484
OR,2000,8,0.1,65.4,82,48.8,2.3896236559139785,871.2201612903226
OR,2000,9,1.1,57.2,71.2,43.2,2.655291666666667,869.3830555555555
OR,2000,10,3.07,47.5,58.7,36.3,2.6790994623655915,866.6049731182795
OR,2000,11,2.06,33.8,41.9,25.6,2.1678333333333333,868.1605555555556
OR,2000,12,2.69,33.5,40.9,26.1,2.643991935483871,868.4692204301075
OR,2001,1,1.81,32.1,40,24.2,2.556666666666666,867.0688172043011
OR,2001,2,1.6,33.1,41.8,24.3,2.4532886904761906,863.447619047619
OR,2001,3,2.54,41.3,51.6,31,2.780215053763441,866.3737903225806
OR,2001,4,2.6,41.8,52.6,31,2.887486111111111,865.1001388888889
OR,2001,5,1.28,55,70.1,39.9,2.7583602150537634,870.7221774193548
OR,2001,6,1.41,56.5,70.4,42.6,2.9259305555555555,869.5293055555555
OR,2001,7,0.77,64.4,79.4,49.3,2.297567204301075,870.759811827957
OR,2001,8,0.39,67.6,83.8,51.3,2.365215053763441,871.5907258064516
OR,2001,9,0.69,60.8,76.4,45.2,2.277416666666667,869.6845833333333
OR,2001,10,2.22,49,61.7,36.4,2.840282258064516,869.3063172043011
OR,2001,11,5.37,40,48.3,31.6,3.530777777777778,865.2672222222222
OR,2001,12,6.16,31.8,37.8,25.7,3.5661290322580643,863.8599462365592
OR,2002,1,5.17,31.8,38.6,25,3.095685483870968,866.7926075268817
OR,2002,2,2.29,35.4,45.4,25.5,2.838392857142857,869.4510416666667
OR,2002,3,3.1,37,47.2,26.7,2.89127688172043,865.5990591397849
OR,2002,4,2.42,45,56.8,33.2,2.8766944444444444,866.3315277777778
OR,2002,5,1.06,50.2,63.2,37.1,3.0933198924731182,867.3783602150538
OR,2002,6,1.07,59.9,74,45.7,2.8733333333333335,869.8170833333334
OR,2002,7,0.19,68.6,85.2,52,2.660336021505376,872.5538978494624
OR,2002,8,0.24,63.2,79.6,46.9,2.3311827956989246,871.7486559139785
OR,2002,9,0.62,58.8,74.5,43.1,2.4035416666666665,869.1083333333333
OR,2002,10,0.45,46.5,60.3,32.7,2.1894086021505377,869.184811827957
OR,2002,11,2.54,40.7,51,30.4,2.6560277777777777,869.3131944444444
OR,2002,12,7.06,35.4,41.9,28.8,3.7611290322580646,862.4346774193548
OR,2003,1,4.96,39,45.8,32.2,2.5461290322580643,869.894623655914
OR,2003,2,2.36,35,44.2,25.7,2.720357142857143,866.03125
OR,2003,3,4.93,41.5,50.7,32.3,3.8322043010752687,864.8393817204301
OR,2003,4,4.11,41.8,51.4,32.1,3.1998194444444445,861.8755555555556
OR,2003,5,1.89,51.2,63.6,38.8,2.6708333333333334,867.4365591397849
OR,2003,6,0.21,61.2,76.6,45.8,2.735263888888889,869.0458333333333
OR,2003,7,0.25,70.1,87.1,53.1,2.2943010752688173,872.8818548387097
OR,2003,8,0.49,66.6,82.5,50.7,2.286478494623656,871.9185483870967
OR,2003,9,1.04,61,76.5,45.6,2.2628194444444443,871.0473611111111
OR,2003,10,1.29,52.1,64.8,39.4,2.857715053763441,870.1045698924731
OR,2003,11,3.75,34.9,42.8,26.9,3.179097222222222,866.2718055555556
OR,2003,12,6.78,34.1,40,28.2,3.3445564516129034,863.9689516129032
OR,2004,1,5.35,32,38.5,25.6,3.0664381720430107,865.9264784946237
OR,2004,2,3.86,34.8,42.7,26.9,3.0248419540229885,864.3774425287356
OR,2004,3,1.81,44.2,56.2,32.3,3.0786827956989247,868.7684139784947
OR,2004,4,1.91,47.2,60.3,34.2,2.873763888888889,867.8954166666666
OR,2004,5,2.86,51,62.6,39.5,2.9689516129032256,866.9844086021506
OR,2004,6,1.23,59.5,73.4,45.7,2.752,869.7954166666667
OR,2004,7,0.25,67.7,83.6,51.8,2.4167204301075267,871.1313172043011
OR,2004,8,1.71,66.6,81.1,52.1,2.425685483870968,870.9962365591398
OR,2004,9,1.29,56.3,69.9,42.7,2.6194166666666665,868.9644444444444
OR,2004,10,3.32,48.3,59.4,37.3,2.775228494623656,865.4760752688172
OR,2004,11,1.78,38.3,47,29.6,2.404097222222222,870.7608333333334
OR,2004,12,4.32,35.5,42.6,28.4,2.8526612903225805,866.683064516129
OR,2005,1,2.13,33.8,41.2,26.5,2.668534946236559,864.9971774193548
OR,2005,2,1.06,36.6,47.4,25.7,2.321473214285714,866.5563988095238
OR,2005,3,3.45,42.3,53.2,31.4,3.2548387096774194,865.3795698924731
OR,2005,4,3.17,44,54.5,33.6,3.3617916666666665,865.405
OR,2005,5,4.81,52.1,62.7,41.4,2.96625,865.6926075268817
OR,2005,6,1.62,55,67.7,42.3,2.976986111111111,865.92875
OR,2005,7,0.33,67.4,83.6,51.1,2.546774193548387,871.3942204301076
OR,2005,8,0.09,66.9,83.7,50.1,2.5326209677419356,871.3760752688172
OR,2005,9,0.65,56.3,71.6,41,2.3051944444444445,869.6283333333333
OR,2005,10,2.55,48.9,60.6,37.2,2.606760752688172,867.6513440860215
OR,2005,11,5.39,37.5,46,29,3.031111111111111,868.6595833333333
OR,2005,12,7.97,31.7,38.9,24.6,3.302486559139785,866.0545698924731
OR,2006,1,8.28,35,41.3,28.7,3.85755376344086,864.873252688172
OR,2006,2,2.37,33.8,44,23.7,3.255029761904762,868.1410714285714
OR,2006,3,3.81,36.4,45,27.7,3.9923521505376343,860.1020161290322
OR,2006,4,2.68,44.6,56,33.3,3.365597222222222,864.1640277777777
OR,2006,5,2,53.2,66.7,39.7,3.050188172043011,868.3072580645161
OR,2006,6,1.57,60.9,74.6,47.3,2.522972222222222,870.7654166666666
OR,2006,7,0.23,69.3,85.6,53,2.5738440860215053,872.2065860215054
OR,2006,8,0.2,64.3,80.7,47.8,2.386478494623656,870.8387096774194
OR,2006,9,0.71,59.1,74.8,43.4,2.4595416666666665,870.3280555555556
OR,2006,10,1.07,47.6,60.8,34.3,2.392943548387097,868.6594086021505
OR,2006,11,8.08,38.3,45.9,30.7,4.259972222222222,864.9005555555556
OR,2006,12,5.44,32.9,41,24.8,3.3460349462365593,868.6642473118279
OR,2007,1,2.62,30.2,39.8,20.6,2.713561827956989,870.4603494623656
OR,2007,2,4.54,36.5,44.6,28.4,3.2191369047619047,864.0601190476191
OR,2007,3,2.22,43.5,54.9,32.1,2.9301344086021506,868.427688172043
OR,2007,4,2.22,44.7,56.9,32.6,2.920916666666667,866.4601388888889
OR,2007,5,0.95,53.1,67.4,38.8,2.9807795698924733,868.5326612903226
OR,2007,6,1.18,58.6,73.1,44,3.0445694444444444,868.8823611111111
OR,2007,7,0.45,69.6,85.3,53.9,2.8030376344086023,871.1762096774194
OR,2007,8,0.59,64.8,80.8,48.9,2.6314516129032257,869.5822580645162
OR,2007,9,1.08,56.6,71.4,41.8,2.75675,868.8476388888889
